City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,australind,100,BR,1681010067,98,-24.7911,-50.0119,60.46,7.2
1,australind,20,US,1681009923,41,33.6001,-101.8338,65.14,10.36
2,australind,20,TO,1681010068,74,-21.2,-175.2,86.16,13.8
3,australind,24,ID,1681010068,67,-7.95,110.2833,84.02,6.35
4,australind,5,PF,1681010068,62,-23.1203,-134.9692,76.96,14.12
5,australind,100,GL,1681010365,97,65.6145,-37.6368,34.03,26.53
6,australind,100,US,1681010032,94,35.2271,-80.8431,42.89,7.0
7,australind,40,BB,1681010069,78,13.2167,-59.5167,79.41,19.57
8,australind,100,US,1681010069,98,35.3501,-80.2001,42.46,11.5
9,australind,1,ZA,1681010069,77,-34.5322,20.0403,53.46,3.6
10,australind,0,SA,1681010366,50,18.2164,42.5053,55.22,4.61
11,australind,0,US,1681010070,46,42.097,-79.2353,37.04,5.75
12,australind,33,VU,1681010070,66,-15.5333,167.1667,86.2,6.78
13,australind,14,NZ,1681009801,59,-46.6,168.3333,61.81,6.11
14,australind,43,RE,1681010368,84,-21.3585,55.7679,76.59,9.37
15,australind,100,ZA,1681010368,98,-33.5906,26.891,59.18,3.0
16,australind,41,AU,1681010368,56,-33.65,115.3333,68.59,4.81
17,australind,20,CL,1681010071,87,-53.15,-70.9167,35.71,23.02
18,australind,0,US,1681010316,48,41.3712,-73.414,43.11,0.0
19,australind,88,ID,1681010072,71,-5.1131,105.3067,83.46,4.23
20,australind,40,SE,1681010072,93,58.5942,16.1826,28.83,0.0
21,australind,100,AU,1681010072,64,-38.2667,141.9667,56.34,14.83
22,australind,99,BR,1681010369,85,-6.9811,-34.8339,77.67,7.2
23,australind,41,AU,1681010370,52,-35.2835,149.1281,62.55,17.27
24,australind,97,NZ,1681010370,52,-45.4167,167.7167,60.8,2.37
25,australind,99,RU,1681010370,92,73.5069,80.5464,-14.22,6.76
26,australind,0,ZA,1681010370,70,-33.9258,18.4232,59.92,7.0
27,australind,98,ML,1681010370,17,20.1986,1.0114,73.27,10.07
28,australind,36,LK,1681010073,61,6.7989,81.4808,83.26,5.35
29,australind,100,PG,1681010074,94,-6.2821,143.9935,61.74,3.24
30,australind,70,RU,1681010074,80,56.9979,86.1452,13.26,18.88
31,australind,61,SD,1681010074,9,14.2,24.6667,70.23,5.39
32,australind,100,US,1681010074,89,22.0752,-159.319,78.78,12.66
33,australind,49,US,1681010329,51,42.6001,-73.9662,39.52,4.0
34,australind,20,AR,1681010372,75,-54.8,-68.3,37.06,23.02
35,australind,76,TZ,1681010372,85,-5.8833,35.2333,64.27,2.86
36,australind,19,EC,1681010075,76,-0.9,-89.6,80.24,2.98
37,australind,75,MU,1681010372,100,-20.5167,57.5167,73.78,3.44
38,australind,99,UA,1681010372,83,46.084,32.5295,46.35,6.15
39,australind,61,MX,1681010076,41,18.8667,-98.6667,63.23,3.67
40,australind,100,NO,1681010373,84,70.9963,24.6622,34.03,11.97
41,australind,100,GL,1681010076,85,60.9167,-46.05,30.42,2.62
42,australind,100,KI,1681010373,83,3.0707,172.7902,81.0,13.73
43,australind,28,NZ,1681010374,44,-46.1927,168.8643,61.48,5.55
44,australind,22,MV,1681010374,70,-0.6,73.0833,81.57,2.68
45,australind,72,PH,1681010077,71,7.9868,117.0645,83.35,9.01
46,australind,100,PG,1681010374,75,-6.2167,155.6333,83.43,2.77
47,australind,0,US,1681010375,76,71.2906,-156.7887,-14.78,8.05
48,australind,0,JP,1681010375,28,35.7333,140.8333,62.22,11.43
49,australind,51,RE,1681010375,81,-21.3667,55.6167,75.58,7.67
50,australind,98,PE,1681010375,78,-11.0964,-77.6139,77.25,8.79
51,australind,9,SO,1681010078,77,9.4942,50.8122,81.0,8.97
52,australind,32,CA,1681010114,89,54.7804,-127.1743,37.06,2.84
53,australind,20,NC,1681010376,61,-20.5667,164.2833,82.08,9.98
54,australind,78,CL,1681010376,80,-41.8697,-73.8203,49.46,2.59
55,australind,89,CN,1681010376,56,27.3167,103.7167,56.17,3.53
56,australind,100,RU,1681010376,99,50.6789,156.125,35.37,7.4
57,australind,96,CA,1681010135,92,55.7435,-97.8558,32.92,10.54
58,australind,100,CA,1681010377,94,68.2191,-135.0107,9.32,3.24
59,australind,4,IN,1681010377,13,27.1333,72.3667,82.87,3.51
60,australind,0,US,1681010377,38,38.421,-121.4238,64.58,5.75
61,australind,100,BR,1681010377,96,-9.8756,-56.0861,71.47,1.63
62,australind,0,IN,1681010377,26,25.5198,90.2201,86.34,2.46
63,australind,2,MG,1681010080,93,-13.2,49.05,71.98,3.24
64,australind,36,AU,1681010081,22,-25.2406,130.9889,85.91,11.83
65,australind,24,NZ,1681010081,70,-46.2817,169.8464,60.93,15.99
66,australind,6,CN,1681010081,52,37.15,122.3833,58.28,19.48
67,australind,0,IN,1681010379,50,18.4167,84.05,86.13,4.52
68,australind,100,RU,1681010379,92,71.9167,114.0833,-3.91,9.84
69,australind,88,PE,1681010379,85,-11.9472,-75.2829,47.93,3.31
70,australind,1,RU,1681010379,67,62.5333,155.8,15.24,2.77
71,australind,0,ZA,1681010380,74,-34.4187,19.2345,57.07,3.71
72,australind,78,ID,1681010380,63,-5.3582,104.9744,85.98,1.97
73,australind,56,AU,1681010380,51,-34.2,142.15,64.08,15.84
74,australind,75,MG,1681010380,94,-18.933,47.4354,64.47,5.75
75,australind,0,RU,1681010380,100,64.5401,40.5433,21.31,0.0
76,australind,69,LK,1681010381,64,7.7102,81.6924,83.8,5.48
77,australind,90,GW,1681010291,65,11.2833,-15.8333,77.74,19.28
78,australind,66,CN,1681010084,57,22.8134,115.8257,67.3,10.09
79,australind,20,AU,1681010381,70,-42.8794,147.3294,54.05,21.85
80,australind,100,BR,1681010381,98,-6.2222,-57.7528,72.84,0.85
81,australind,100,BR,1681010382,92,-16.3494,-53.7583,69.96,1.23
82,australind,0,PE,1681010372,83,-13.7,-76.2167,75.25,12.66
83,australind,1,AU,1681010382,56,-24.8667,113.6333,74.44,15.55
84,australind,9,AU,1681010085,64,-32.55,115.7,69.91,5.61
85,australind,73,RU,1681010383,98,62.8487,34.8262,22.14,2.1
86,australind,65,BR,1681010383,96,-3.1431,-58.4442,74.14,1.92
87,australind,1,PF,1681010383,71,-9.8,-139.0333,81.45,12.39
88,australind,0,BR,1681010384,94,-20.3297,-40.2925,75.15,2.3
89,australind,98,RU,1681010384,84,64.3833,-173.3,2.46,6.78
90,australind,75,US,1681010384,80,19.7297,-155.09,78.28,8.05
91,australind,98,IT,1681010384,91,40.3469,14.9966,46.09,6.13
92,australind,0,RU,1681010087,71,52.3185,42.4937,36.81,4.7
93,australind,98,BR,1681010384,81,-30.1811,-50.2056,70.21,13.89
94,australind,77,US,1681010385,85,28.017,-97.5169,66.83,6.71
95,australind,100,BR,1681010306,91,-5.1989,-35.4608,76.57,6.04
96,australind,98,RU,1681010087,86,59.6481,67.41,34.9,7.87
97,australind,6,RU,1681010385,40,46.4856,135.8833,41.54,7.27
98,australind,0,US,1681010385,37,57.79,-152.4072,27.91,16.11
99,australind,41,TZ,1681010386,91,-8.85,34.0167,61.23,3.31
100,australind,75,CA,1681010386,80,62.456,-114.3525,34.32,10.36
